ชื่อสวนสาธารณะ,สถานที่ตั้ง,ไร่,งาน,ตร.วา,total_area(sqm),เขต,ประเภท,รหัสพื้นที่,lat,lng
สวนสราญรมย์,"ถนนเจริญกรุง แขวงพระบรมมหาราชวัง
เขตพระนคร",23,0,0.0,36800.0,เขตพระนคร,สวนหลัก,2525.0,13.7483404884773,100.495211028671
สวนสาธารณะบึงน้ำลาดพร้าว 71,ถนนลาดพร้าว แขวงลาดพร้าว เขตลาดพร้าว,21,0,68.0,33872.0,เขตลาดพร้าว,สวนหลัก,5766.0,13.8180538028293,100.61213304892
สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว(บางกอกน้อย),"ถนนบางขุนนนท์ แขวงบางขุนนนท์
เขตบางกอกน้อย",21,3,42.0,34968.0,เขตบางกอกน้อย,สวนหลัก,,13.7718751,100.4655782
สวน 50 พรรษา มหาจักรีสิรินธร,ถนนเฉลิมพระเกียรติ ร.9 แขวงดอกไม้ เขตประเวศ,20,0,49.0,32196.0,เขตประเวศ,สวนหลัก,2450.0,13.6763904298239,100.677704142544
สวนสันติภาพ,ถนนราชวิถี แขวงพญาไท เขตราชเทวี,20,0,80.0,32320.0,เขตราชเทวี,สวนหลัก,1962.0,13.7617105279417,100.540743145665
สวนปทุมวนานุรักษ์,,20,0,0.0,32000.0,เขตปทุมวัน,สวนหลัก,19978.0,13.7488340944926,100.53961337856
สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว(สาทร),ถนนสาทร แขวงทุ่งมหาเมฆ เขตสาทร,17,2,58.0,28232.0,เขตสาทร,สวนหลัก,,13.7185575,100.4705093
สวนรมณีย์ทุ่งสีกัน,ถนนเวฬุวนาราม แขวงทุ่งสีกัน เขตดอนเมือง,15,2,74.0,25096.0,เขตดอนเมือง,สวนหลัก,4451.0,13.9289185757311,100.56778704751
ที่ว่างหลังแฟลตตำรวจส่วนกลางลาดยาว,,11,0,0.0,17600.0,เขตจตุจักร,สวนหลัก,,13.8377724,100.5600201
สวนพระยาภิรมย์,ถนนราษฎร์อุทิศ แขวงแสนแสบ เขตมีนบุรี,10,3,27.0,17308.0,เขตมีนบุรี,สวนหลัก,14110.0,13.8231767715886,100.756020642051
สวนสาธารณะสันติชัยปราการ,ถนนพระอาทิตย์ แขวงบางลำพู เขตพระนคร,8,2,0.0,13600.0,เขตพระนคร,สวนหลัก,2736.0,13.7640730705686,100.495463121039
สวนราษฎร์ภิรมย์,ซอยสุวินทวงศ์47 แขวงลำต้อยติ่ง เขตหนองจอก,7,2,49.0,12196.0,เขตหนองจอก,สวนหลัก,14109.0,13.8077770160846,100.88161867897
สวนสิรินธราพฤกษาพรรณ,ถนนจรัญสนิทวงศ์ แขวงบางขุนศรี เขตบางกอกน้อย,3,0,16.0,4864.0,เขตบางกอกน้อย,สวนหลัก,6472.0,13.7464124866283,100.466491041701
สวนจรัญภิรมย์,ถนนจรัญสนิทวงศ์ แขวงบางยี่ขัน เขตบางพลัด,3,1,93.0,5572.0,เขตบางพลัด,สวนหลัก,12226.0,13.7746804144203,100.491269018459
