Column1,Column2,title,lat,lng,user
ARL,A1,สุวรรณภูมิ,13.6979074195457,100.75224930065,5089337
ARL,A2,ลาดกระบัง,13.7278903963851,100.748623649118,5136280
ARL,A3,บ้านทับช้าง,13.7328261845074,100.691306082738,1615906
ARL,A4,หัวหมาก,13.7380479871179,100.645178116049,2638946
ARL,A5,รามคำแหง,13.7429895683311,100.600147556519,3066674
ARL,A6,มักกะสัน,13.7510321803045,100.561203217671,5475606
ARL,A7,ราชปรารภ,13.7551053282914,100.542152111355,1697552
ARL,A8,พญาไท,13.7567785289315,100.534839120825,6790577
Blue,BL01,ท่าพระ,13.729697778182,100.474152775269,0
Blue,BL02,จรัญฯ 13,13.7403603953308,100.470653251614,0
Blue,BL03,ไฟฉาย,13.7551301178991,100.469224960008,0
Blue,BL04,บางขุนนนท์,13.7632285835125,100.473207511015,0
Blue,BL05,บางยี่ขัน,13.7775371676275,100.485242991785,0
Blue,BL06,สิรินธร,13.7840643404156,100.493478540431,0
Blue,BL07,บางพลัด,13.7925519701664,100.505042480041,0
Blue,BL08,บางอ้อ,13.7990167337159,100.509699937046,0
Blue,BL09,บางโพ,13.8064672104563,100.521040245178,0
Blue,BL10,เตาปูน,13.8062125933185,100.530758979737,0
Blue,BL11,บางซื่อ,13.8031238460561,100.539189274481,0
Blue,BL12,กำแพงเพชร,13.7980954088441,100.547595382864,0
Blue,BL13,สวนจตุจักร,13.8021317525924,100.553047567609,0
Blue,BL14,พหลโยธิน ,13.8143486930854,100.560144802739,0
Blue,BL15,ลาดพร้าว,13.8062429954829,100.573956666465,0
Blue,BL16,รัชดาภิเษก,13.7991578924029,100.574611913054,0
Blue,BL17,สุทธิสาร,13.7897396250452,100.574200347578,0
Blue,BL18,ห้วยขวาง,13.7785270458096,100.573639390508,0
Blue,BL19,ศูนย์วัฒธรรมแห่งประเทศไทย,13.7662765491237,100.57023284296,0
Blue,BL20,พระราม 9,13.7579162473683,100.565545226978,0
Blue,BL21,เพชรบุรี,13.7486850066994,100.563161068247,0
Blue,BL22,สุขุมวิท,13.7385503381947,100.561455675322,0
Blue,BL23,ศูนย์การประชุมแห่งชาติสิริกิติ์,13.7231561068025,100.560105096779,0
Blue,BL24,คลองเตย,13.7223352590057,100.553919511277,0
Blue,BL25,ลุมพินี,13.7257712698794,100.545676928439,0
Blue,BL26,สีลม,13.729260253459,100.53654564934,0
Blue,BL27,สามย่าน,13.7323482211725,100.529981470612,0
Blue,BL28,หัวลำโพง,13.73783972632,100.517162720714,0
Blue,BL29,วัดมังกร,13.7420132773961,100.510178763965,0
Blue,BL30,สามยอด,13.7471572894633,100.502225747935,0
Blue,BL31,สนามไชย,13.7439442642105,100.49458660047,0
Blue,BL32,อิสรภาพ,13.7383204752584,100.485292117138,0
Blue,BL33,บางไผ่,13.7245943540206,100.465174697561,0
Blue,BL34,บางหว้า,13.7203954622814,100.457167515949,0
Blue,BL35,เพชรเกษม 48,13.7155091671881,100.445604362286,0
Blue,BL36,ภาษีเจริญ,13.712885421435,100.434156728994,0
Blue,BL37,บางแค,13.7119412453587,100.422381880913,0
Blue,BL38,หลักสอง,13.7109685976869,100.409972138487,0
Dark green,CEN,สยาม,13.7456114333402,100.534147406872,13540040
Light green,CEN,สยาม,13.7456114333402,100.534147406872,13540040
Light green,E1,ชิดลม,13.744080691752,100.543087282954,5467258
Light green,E10,บางจาก,13.696735571439,100.605224597338,2156089
Light green,E11,ปุณณวิถี,13.6892455878265,100.609050865621,2413684
Light green,E12,อุดมสุข,13.6799189905429,100.609590394975,4558093
Light green,E13,บางนา,13.668147288244,100.604718645691,2524753
Light green,E14,แบริ่ง,13.6613392406571,100.601928424145,3992440
Light green,E15,สำโรง,13.6461806698548,100.595506079676,4214246
Light green,E16,ปู่เจ้า,13.6372462895454,100.592054649086,1222723
